Date;Mkt-RF;SMB;HML;RMW;CMA;RF
12/31/98;0.0288;-0.0268;-0.0189;0.0085;0.0008;0.0038
01/29/99;-0.0043;-0.0002;-0.0207;0.0169;-0.0357;0.0035
02/26/99;-0.0219;0.0247;-0.011;0.0216;0.0181;0.0035
03/31/99;-0.0003;-0.0028;0.0138;-0.0071;0.0158;0.0043
04/30/99;0.0295;0.0085;0.0187;0.0035;-0.0032;0.0037
05/28/99;-0.038;0.0437;0.0011;0.0019;0.0179;0.0034
06/30/99;0.0171;0.0015;0.0052;0.0039;-0.0148;0.004
07/30/99;0.0112;0.0339;0.0035;-0.0081;0.0135;0.0038
08/31/99;0.0134;0.0332;-0.0109;-0.0156;-0.0327;0.0039
09/30/99;-0.0032;0.0134;-0.018;-0.0159;-0.0189;0.0039
10/29/99;0.0172;-0.0112;-0.0381;0.022;-0.0149;0.0039
11/30/99;0.0276;-0.0042;-0.0905;0.0293;-0.0548;0.0036
12/31/99;0.0926;-0.0495;-0.0426;0.0457;-0.0616;0.0044
01/31/00;-0.0712;0.0883;-0.0612;0.0265;-0.0428;0.0041
02/29/00;0.0587;0.0083;-0.095;0.0363;-0.073;0.0043
03/31/00;0.0066;-0.0511;0.0323;-0.0264;0.0492;0.0047
04/28/00;-0.0558;-0.0457;0.058;-0.0155;0.0131;0.0046
05/31/00;-0.0007;0.0019;0.0606;-0.0349;0.0489;0.005
06/30/00;0.0068;0.0033;0.0321;-0.0342;0.0122;0.004
07/31/00;-0.0158;-0.0068;0.033;-0.0015;-0.0011;0.0048
08/31/00;-0.0157;0.0063;-0.0038;-0.0132;0.0057;0.005
09/29/00;-0.0499;0.0233;0.0264;0.016;0.0216;0.0051
10/31/00;-0.027;-0.0617;0.0763;0.026;0.0411;0.0056
11/30/00;-0.0455;-0.008;0.1116;0.0081;0.0877;0.0051
12/29/00;0.0568;0.0035;0.0332;-0.0047;0.0066;0.005
01/31/01;0.0039;0.0175;0.0069;-0.0091;0.0082;0.0054
02/28/01;-0.0869;0.0467;0.0942;-0.0167;0.068;0.0038
03/30/01;-0.0934;-0.0068;0.0583;0.0251;0.0267;0.0042
04/30/01;0.074;-0.0349;-0.0315;0.0268;-0.0193;0.0039
05/31/01;-0.0503;0.0281;0.0423;-0.0025;0.0336;0.0032
06/29/01;-0.0365;-0.0077;0.0621;-0.0107;0.0531;0.0028
07/31/01;-0.007;-0.0164;0.0381;0.0232;0.0345;0.003
08/31/01;-0.0203;0.0226;0.0414;0.0143;0.0505;0.0031
09/28/01;-0.1156;-0.0476;0.0234;0.0109;0.0331;0.0028
10/31/01;0.0324;0.0134;-0.0329;-0.0178;-0.0542;0.0022
11/30/01;0.0409;0.0193;-0.011;-0.0229;-0.0437;0.0017
12/31/01;0.0182;-0.0154;0.014;0.0254;0.0086;0.0015
01/31/02;-0.047;0.0323;0.0183;0.0313;0.0258;0.0014
02/28/02;0.0041;-0.0002;0.0174;0.0285;0.0465;0.0013
03/28/02;0.0508;-0.0048;0.0074;0.0039;-0.0029;0.0013
04/30/02;-0.0032;0.0337;0.0476;0.0139;0.0528;0.0015
05/31/02;0.0043;0.0199;0.047;0.0016;0.0261;0.0014
06/28/02;-0.0248;0.0176;0.0242;0.026;0.0463;0.0013
07/31/02;-0.1059;0.0243;0.0315;0.0151;0.0044;0.0015
08/30/02;0.0014;-0.0183;0.0211;0.0075;-0.0034;0.0014
09/30/02;-0.1317;0.0329;-0.0191;0.064;0.0052;0.0014
10/31/02;0.0858;-0.0733;-0.0084;-0.0488;0.0013;0.0014
11/29/02;0.0488;-0.0076;0.0216;-0.05;0.0055;0.0012
12/31/02;-0.0275;0.0418;0.0325;0.0224;0.0016;0.0011
01/31/03;-0.0345;0.0243;0.0251;-0.0088;0.0105;0.001
02/28/03;-0.0334;0.0052;0.0169;0.0023;-0.0063;0.0009
