Date,Price,CVol,Change,% Change,"Total Return (Gross, Unhedged)","Cumulative Return % (Gross, Unhedged)",Open,High,Low,Total Return
1999-01-29,,,,,,,,,,
1999-02-26,,,,,,,,,,
1999-03-31,,,,,,,,,,
1999-04-30,,,,,,,,,,
1999-05-28,,,,,,,,,,
1999-06-30,,,,,,,,,,
1999-07-30,,,,,,,,,,
1999-08-31,,,,,,,,,,
1999-09-30,,,,,,,,,,
1999-10-29,,,,,,,,,,
1999-11-30,,,,,,,,,,
1999-12-31,,,,,,,,,,
2000-01-31,,,,,,,,,,
2000-02-29,,,,,,,,,,
2000-03-31,,,,,,,,,,
2000-04-28,,,,,,,,,,
2000-05-31,,,,,,,,,,
2000-06-30,,,,,,,,,,
2000-07-31,,,,,,,,,,
2000-08-31,,,,,,,,,,
2000-09-29,,,,,,,,,,
2000-10-31,,,,,,,,,,
2000-11-30,,,,,,,,,,
2000-12-29,,,,,,,,,,
2001-01-31,,,,,,,,,,
2001-02-28,,,,,,,,,,
2001-03-30,,,,,,,,,,
2001-04-30,,,,,,,,,,
2001-05-31,,,,,,,,,,
2001-06-29,,,,,,,,,,
2001-07-31,,,,,,,,,,
2001-08-31,,,,,,,,,,
2001-09-28,,,,,,,,,,
2001-10-31,,,,,,,,,,
2001-11-30,946.104233728965,,946.104233728965,,708.840087953812,,,946.104233728965,946.104233728965,
2001-12-31,975.911249876994,,29.8070161480289,0.031018903147455222,731.563696746568,3.20574543947585,,975.911249876994,975.911249876994,0.031018903147455257
2002-01-31,982.10716829787,,6.19591842087595,0.006328785310747556,737.037714574892,3.97799547461786,,982.10716829787,982.10716829787,0.03754400043679795
2002-02-28,997.168733145334,,15.061564847464,0.01521956142400675,749.398101581838,5.72174377793778,,997.168733145334,997.168733145334,0.05333496508155555
2002-03-28,1023.79329805523,,26.6245649098959,0.02634993134541695,772.282887581359,8.95022737930714,,1023.79329805523,1023.79329805523,0.0810902690951818
2002-04-30,1018.57727251899,,-5.21602553624006,-0.005107826123080799,771.984836648071,8.9081796821815,,1018.57727251899,1018.57727251899,0.075568247977289
2002-05-31,990.911735831228,,-27.6655366877619,-0.02753663712971226,754.657281970207,6.46368550467484,,990.911735831228,990.911735831228,0.04595071542449802
2002-06-28,929.594669040429,,-61.317066790799,-0.06387681320269861,711.384621015659,0.358971382274983,,929.594669040429,929.594669040429,-0.020861283043901557
